,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
0,google/deepvariant,google/deepvariant,variant-calling,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2024-03-19 19:20:10,2024-03-18 19:51:35,2374,14.0,687,162,61.0,7.0,727,3052,2024-03-19 19:20:10,1.6.1,4710.0,62.0,21.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,30.0,25,1,2.0,,
1,OpenGene/fastp,OpenGene/fastp,fastq-qc,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2024-03-26 04:02:51,2023-05-31 01:20:33,444,,326,50,60.0,319.0,176,1734,2023-05-30 11:53:09,0.23.4,,,41.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,26.0,20,1,,,
2,broadinstitute/gatk,broadinstitute/gatk,variant-calling,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2024-03-26 18:01:04,2024-03-25 14:20:05,4657,17.0,560,158,4242.0,1180.0,3316,1584,2023-12-13 22:53:56,4.5.0.0,596076.0,7358.0,50.0,Official code repository for GATK versions 4 and up.,128.0,25,1,,,
3,samtools/samtools,samtools/samtools,bam-related,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2024-03-28 15:45:33,2024-03-28 14:59:11,2654,33.0,548,101,787.0,167.0,1042,1534,2024-01-24 12:34:52,1.19.2,1451148.0,13313.0,24.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,94.0,25,1,,,
4,lh3/bwa,lh3/bwa,read-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2024-03-18 11:18:25,2022-09-22 23:52:12,967,,508,106,126.0,187.0,103,1429,2017-10-23 17:12:23,0.7.17,128111.0,1320.0,4.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,33.0,21,1,1.0,,
5,arq5x/bedtools2,arq5x/bedtools2,bed-related,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2024-03-19 19:54:04,2024-03-09 21:52:05,2140,1.0,279,58,267.0,215.0,602,889,2023-11-07 23:37:36,2.31.1,993545.0,8077.0,23.0,bedtools - the swiss army knife for genome arithmetic.,93.0,23,1,-1.0,,
6,bwa-mem2/bwa-mem2,bwa-mem2/bwa-mem2,read-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2023-12-18 14:25:55,2023-12-18 14:25:34,236,,87,35,52.0,79.0,126,670,2021-03-17 06:13:06,2.2.1,28178.0,485.0,6.0,The next version of bwa-mem.,12.0,15,3,,,
7,brentp/mosdepth,brentp/mosdepth,bam-related,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2024-03-20 11:40:54,2024-03-20 11:40:51,224,2.0,99,24,24.0,52.0,149,644,2024-03-20 11:41:51,0.3.7,308992.0,3911.0,26.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",16.0,20,2,2.0,,
8,samtools/bcftools,samtools/bcftools,vcf-related,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2024-03-28 11:22:46,2024-03-28 11:22:46,2916,62.0,224,48,298.0,279.0,1545,611,2023-12-12 16:18:14,1.19,590676.0,5419.0,23.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,54.0,24,1,,,
9,biod/sambamba,biod/sambamba,bam-related,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2023-08-21 10:24:16,2023-08-21 10:24:15,1156,,97,28,60.0,29.0,424,552,2023-08-16 09:16:34,1.0.1,142005.0,1136.0,44.0,Tools for working with SAM/BAM data.,29.0,20,2,,,
