,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
0,google/deepvariant,google/deepvariant,variant-calling,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2024-03-19 19:20:10,2024-03-18 19:51:35,2374,14.0,687,159,61.0,6.0,756,3100,2024-03-19 19:20:10,1.6.1,4715.0,61.0,21.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,30.0,25,1,,,
1,OpenGene/fastp,OpenGene/fastp,fastq-qc,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2024-04-07 08:16:11,2024-04-07 08:16:11,448,4.0,330,50,61.0,327.0,176,1801,2023-05-30 11:53:09,0.23.4,,,41.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,27.0,20,1,,,
2,broadinstitute/gatk,broadinstitute/gatk,variant-calling,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2024-05-30 18:24:12,2024-05-17 01:11:20,4669,24.0,567,156,4329.0,1189.0,3318,1620,2023-12-13 22:53:56,4.5.0.0,610798.0,7359.0,50.0,Official code repository for GATK versions 4 and up.,130.0,25,1,,,
3,samtools/samtools,samtools/samtools,bam-related,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2024-05-30 12:33:04,2024-05-30 12:03:24,2682,37.0,555,100,808.0,171.0,1064,1570,2024-04-15 15:22:18,1.20,1510213.0,13605.0,25.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,96.0,24,1,,,
4,lh3/bwa,lh3/bwa,read-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2024-04-15 02:54:32,2024-04-15 02:53:32,968,1.0,516,107,126.0,187.0,106,1462,2024-04-15 02:54:32,0.7.18,130665.0,1319.0,5.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,33.0,21,1,,,
5,arq5x/bedtools2,arq5x/bedtools2,bed-related,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2024-04-25 09:20:53,2024-04-14 18:17:42,2142,3.0,281,58,268.0,221.0,603,908,2023-11-07 23:37:36,2.31.1,1012377.0,8099.0,23.0,bedtools - the swiss army knife for genome arithmetic.,94.0,23,1,,,
6,bwa-mem2/bwa-mem2,bwa-mem2/bwa-mem2,read-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2024-05-08 18:49:52,2024-05-08 18:49:51,240,3.0,89,35,52.0,82.0,126,687,2021-03-17 06:13:06,2.2.1,29733.0,495.0,6.0,The next version of bwa-mem.,13.0,16,3,1.0,,
7,brentp/mosdepth,brentp/mosdepth,bam-related,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2024-04-17 10:08:25,2024-04-17 10:08:23,230,8.0,99,23,25.0,55.0,152,664,2024-04-17 09:58:19,0.3.8,320757.0,3959.0,27.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",17.0,21,2,,,
8,samtools/bcftools,samtools/bcftools,vcf-related,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2024-05-29 09:33:44,2024-05-29 09:33:44,2951,51.0,233,49,302.0,283.0,1592,623,2024-04-15 15:22:35,1.20,612086.0,5514.0,24.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,55.0,24,1,,,
9,biod/sambamba,biod/sambamba,bam-related,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2023-08-21 10:24:16,2023-08-21 10:24:15,1156,,98,27,60.0,31.0,424,555,2023-08-16 09:16:34,1.0.1,143504.0,1129.0,44.0,Tools for working with SAM/BAM data.,29.0,20,3,,,
